20 4 2
30 1 1
40 3 4
50 2 9
60 26 26
70 8 21
80 7 18
90 6 25
100 6 33
110 6 49
120 11 61
130 11 70
140 11 95
150 16 115
160 20 150
170 18 254
180 34 230
190 27 350
200 31 333
210 43 383
220 44 416
230 45 493
240 43 501
250 46 513
260 49 766
270 56 753
280 66 787
290 56 872
300 84 943
310 73 998
320 71 1130
330 78 1200
340 100 1443
350 99 1499
360 107 1614
370 104 1758
380 111 1939
390 127 2025
400 132 2180
